Date,Adversity,DATE_QTR,REAL_GDP_GROWTH,NOMINAL_GDP_GROWTH,REAL_DISPOSABLE_INCOME_GROWTH,NOMINAL_DISPOSABLE_INCOME_GROWTH,UNEMPLOYMENT_RATE,CPI_INFLATION_RATE,THREE_MONTH_TREASURY_RATE,FIVE_YEAR_TREASURY_YIELD,TEN_YEAR_TREASURY_YIELD,BBB_CORPORATE_YEILD,MORTGAGE_RATE,PRIME_RATE,DOWJONES_TOTAL_STOCK_MARKET_INDEX,HOUSE_PRICE_INDEX,COMERCIAL_REAL_ESTATE_PRICE_INDEX,MARKET_VOLATILITY_INDEX,EURO_AREA_REAL_GDP_GROWTH,EURO_AREA_INFLATION,EURO_AREA_BILATERAL_DOLLAR_EXCHANGE_RATE,DEVELOPING_ASIA_REAL_GDP_GROWTH,DEVELOPING_ASIA_INFLATION,DEV_ASIA_BILATERAL_DOLLAR_EXCHANGE_RATE,JAPAN_REAL_GDP_GROWTH,JAPAN_INFLATION,JAPAN_BILATERAL_DOLLAR_EXCHANGE_RATE,UK_REAL_GDP_GROWTH,UK_INFLATION,UK_BILATERAL_DOLLAR_EXCHANGE_RATE
2001-03-31,Historical,Q1 2001,-1.1,1.3,3.7,6.5,4.2,3.9,4.8,4.9,5.3,7.5,7,8.6,10646,112,143,32.8,4.0,1.2,0.879,4.8,1.7,106.1,2.1,0.7,125.5,5.8,0.1,1.419
2002-03-31,Historical,Q1 2002,3.5,4.9,9.3,10.1,5.7,1.3,1.7,4.5,5.4,7.4,7,4.8,10776,120,139,26.1,0.2,3.1,0.872,7.8,0.5,107.4,0.7,-1.1,132.7,1.8,1.9,1.425
2003-03-31,Historical,Q1 2003,2.2,4.1,0.9,3.8,5.9,4.2,1.2,2.9,4.2,6.2,5.8,4.3,8052,132,152,34.7,-1.4,3.3,1.09,6.6,3.6,105.5,0.3,0.0,118.1,2.7,1.6,1.579
2004-03-31,Historical,Q1 2004,2.2,5.2,1.9,5.3,5.7,3.4,0.9,3,4.1,5,5.6,4,11039,148,153,21.6,2.0,2.2,1.229,5.8,4.0,101.4,2.8,0.8,104.2,2.2,1.3,1.84
2005-03-31,Historical,Q1 2005,4.5,7.9,-4.6,-2.4,5.3,2,2.5,3.9,4.4,5.2,5.8,5.4,11637,172,179,14.7,0.9,1.4,1.297,10.6,2.9,98.5,2.0,-1.2,107.2,3.4,2.5,1.889
2006-03-31,Historical,Q1 2006,5.4,8.4,8,10.2,4.7,2.1,4.4,4.6,4.7,5.8,6.2,7.4,13122,193,204,14.6,3.6,1.7,1.214,10.9,2.4,96.7,0.7,1.2,117.5,1.6,1.9,1.739
2007-03-31,Historical,Q1 2007,0.9,5,3.4,7.4,4.5,4,5,4.6,4.8,6,6.2,8.3,14354,189,230,19.6,2.5,2.3,1.337,13.9,3.6,93.9,3.0,-0.7,117.6,3.8,2.6,1.969
2008-03-31,Historical,Q1 2008,-2.3,-0.8,1.1,4.6,5,4.4,2.1,2.8,3.9,6.4,5.9,6.2,13284,165,235,32.2,1.8,4.2,1.581,7.1,8.1,88.0,1.1,1.2,99.9,2.2,3.7,1.986
2009-03-31,Historical,Q1 2009,-4.4,-4.5,-1.7,-4,8.3,-2.7,0.2,1.9,3.2,9.1,5.1,3.3,8044,138,208,56.7,-12.0,-1.0,1.326,4.2,-1.4,94.3,-17.8,-3.6,99.2,-6.8,-0.1,1.43
2010-03-31,Historical,Q1 2010,1.5,2.6,2.3,3.7,9.8,0.6,0.1,2.4,3.9,5.6,5,3.3,12033,139,154,27.3,1.5,1.8,1.353,9.6,4.4,89.8,3.5,1.0,93.4,2.6,4.0,1.519
2011-03-31,Historical,Q1 2011,-1,1.2,4.1,7.8,9,4.3,0.1,2.1,3.5,5,4.8,3.3,13909,133,171,29.4,3.4,3.7,1.418,9.6,6.2,86.5,-5.5,-0.1,82.8,2.5,6.7,1.605
2012-03-31,Historical,Q1 2012,3.2,5.8,7.7,10.7,8.3,2.3,0.1,0.9,2.1,4.4,3.9,3.3,14628,135,181,23,-0.9,2.9,1.333,7.6,3.2,86.3,4.9,2.2,82.4,2.6,2.1,1.599
2013-03-31,Historical,Q1 2013,3.6,5.3,-15.1,-13.9,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396,148,187,19,-1.5,1.3,1.282,6.7,4.6,86.3,5.0,0.6,94.2,2.6,2.9,1.519
2014-03-31,Historical,Q1 2014,-1.1,0.5,5.7,7.7,6.7,2.5,0,1.6,2.8,4.4,4.4,3.3,19711,160,210,21.4,1.9,1.0,1.378,5.8,1.4,86.9,4.0,1.0,103.0,2.7,1.9,1.668
2015-03-31,Historical,Q1 2015,3.2,3,4.6,2.8,5.5,-2.6,0,1.5,2,3.9,3.7,3.3,21708,168,241,22.4,3.0,-0.7,1.074,5.7,0.9,88.1,5.5,0.5,120.0,2.1,-1.1,1.485
2016-03-31,Historical,Q1 2016,2,1.6,2.7,2.9,4.9,-0.2,0.3,1.4,2,4.5,3.7,3.5,21179,177,239,28.1,2.4,-1.4,1.139,7.5,3.1,91.8,1.9,-0.4,112.4,0.7,0.0,1.438
2017-03-31,Historical,Q1 2017,2.3,4.2,4.9,7.1,4.6,2.8,0.6,2,2.5,4,4.2,3.8,24508,187,257,13.1,2.6,2.7,1.07,6.3,1.4,95.2,4.6,-0.3,111.4,2.3,3.8,1.254
2018-03-31,Historical,Q1 2018,2.6,5,6.9,9.6,4.1,3.2,1.6,2.5,2.8,4.1,4.3,4.5,27383,199,274,37.3,1.1,2.2,1.232,6.7,2.8,89.1,-1.9,2.7,106.2,0.2,2.6,1.403
2019-03-31,Historical,Q1 2019,3.1,3.9,4.5,4.9,3.9,0.9,2.4,2.5,2.7,4.5,4.4,5.5,29194,206,289,25.5,1.8,0.3,1.123,5.4,1.4,94.8,2.6,0.4,110.7,2.5,1.1,1.303
2020-03-31,Historical,Q1 2020,-5,-3.4,2.6,3.9,3.8,1.2,1.1,1.2,1.4,3.4,3.5,4.4,25985,213,304,82.7,-14.1,0.7,1.102,-25.7,3.8,101.9,-2.3,0.3,107.5,-8.5,2.0,1.245
2021-03-31,Baseline,Q1 2021,4.6,6.4,-4.8,-3,8.1,2.1,0.1,0.4,0.9,2.5,2.7,3.2,35090,222,293,26.9,3.3,1.2,1.182,6.2,3.3,99.1,2.3,0.8,106.4,6.1,1.1,1.31
2021-03-31,Adverse,Q1 2021,-3.6,-2.6,-12.8,-11.8,11.3,1.4,0.1,0.2,0.3,5.7,3.8,3.2,19841,198,291,68.1,-3.0,-0.2,1.074,3.7,-0.7,100.9,-4.5,-1.6,106.7,-3.1,-0.2,1.182
2022-03-31,Baseline,Q1 2022,3.3,4.4,3.4,5.6,6.3,2.3,0.4,0.8,1.2,2.8,2.8,3.4,36295,231,279,26.3,5.0,1.0,1.206,4.8,3.3,98.3,4.1,0.2,106.7,5.6,1.9,1.359
2022-03-31,Adverse,Q1 2022,5.7,6.2,3.5,5.5,12,2.1,0.1,0.3,0.7,5.1,3.6,3.2,20479,168,241,41.8,1.0,-0.1,1.043,4.8,-1.0,103.4,1.0,-1.9,105.6,1.0,0.0,1.148
2023-03-31,Baseline,Q1 2023,2.5,4,2.1,4.1,5.5,2.2,0.9,1.2,1.7,3.4,3.2,3.9,37588,239,290,26.4,2.6,1.2,1.206,5.7,3.4,98.3,2.3,0.3,106.7,3.2,2.2,1.359
2023-03-31,Adverse,Q1 2023,8.2,8.9,4.2,6.2,8.4,2.1,0.1,0.6,1.2,3.9,3.3,3.2,28338,164,213,30.4,9.0,-0.5,1.09,6.3,0.8,99.7,6.0,-1.3,106.7,9.0,0.5,1.2
2001-06-30,Historical,Q2 2001,2.4,4.9,-0.7,1.2,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407,114,142,34.7,0.4,4.0,0.847,5.3,2.1,106.2,-1.9,-2.3,124.7,3.4,3.1,1.408
2002-06-30,Historical,Q2 2002,2.4,3.9,2.7,5.9,5.8,3.2,1.7,4.5,5.4,7.5,6.8,4.8,9384,124,140,28.4,2.3,2.0,0.986,8.1,1.1,104.8,3.0,0.1,119.9,2.0,0.9,1.525
2003-06-30,Historical,Q2 2003,3.5,4.7,5,5.1,6.1,-0.7,1,2.6,3.8,5.3,5.5,4.2,9342,135,151,29.1,0.4,0.5,1.15,1.9,1.1,104.0,2.6,0.3,119.9,3.8,0.3,1.653
2004-06-30,Historical,Q2 2004,3.1,6.5,4.7,7.6,5.6,3.2,1.1,3.7,4.7,5.7,6.1,4,11145,154,163,20,2.4,2.6,1.218,7.1,4.1,102.8,0.1,-0.4,109.4,1.4,1.0,1.813
2005-06-30,Historical,Q2 2005,1.9,4.7,3.9,6.4,5.1,2.7,2.9,3.9,4.2,5.4,5.7,5.9,11857,179,185,17.7,2.5,2.2,1.21,8.7,1.5,98.9,2.7,-1.0,110.9,5.1,1.9,1.793
2006-06-30,Historical,Q2 2006,0.9,4.4,1,4.3,4.6,3.7,4.7,5,5.2,6.3,6.6,7.9,12809,193,212,23.8,4.4,2.5,1.278,7.2,3.2,96.6,1.0,0.4,114.5,1.0,3.0,1.849
2007-06-30,Historical,Q2 2007,2.3,5,1,4.3,4.5,4.6,4.7,4.7,4.9,6.2,6.4,8.3,15163,183,239,18.9,2.8,2.3,1.352,10.6,4.9,91.8,0.5,0.4,123.4,2.5,1.7,2.006
2008-06-30,Historical,Q2 2008,2.1,4.3,7.5,12,5.3,5.3,1.6,3.2,4.1,6.7,6.1,5.1,13016,157,224,24.1,-1.4,3.2,1.575,6.0,6.3,88.7,-1.5,1.8,106.2,-2.2,5.7,1.991
2009-06-30,Historical,Q2 2009,-0.6,-1.2,4.4,6.3,9.3,2.1,0.2,2.3,3.7,8.1,5,3.3,9343,138,180,42.3,-0.1,0.0,1.402,15.0,2.3,92.3,8.6,-1.6,96.4,-1.0,2.2,1.645
2010-06-30,Historical,Q2 2010,3.7,5.7,6.8,7.2,9.6,-0.1,0.1,2.4,3.6,5.4,4.9,3.3,10646,139,166,45.8,4.0,1.9,1.229,9.5,3.4,91.1,5.5,-1.4,88.5,4.1,3.2,1.495
2011-06-30,Historical,Q2 2011,2.9,5.6,-0.9,3.1,9.1,4.6,0,1.8,3.3,4.8,4.7,3.3,13844,133,174,22.7,0.0,3.1,1.452,6.9,5.4,85.3,-2.6,-0.7,80.6,0.4,4.7,1.607
2012-06-30,Historical,Q2 2012,1.7,3.3,3.7,4.7,8.2,0.8,0.1,0.8,1.8,4.3,3.8,3.3,14100,138,180,26.7,-1.3,2.2,1.267,5.8,3.9,88.1,-2.8,-1.4,79.8,-0.3,2.0,1.569
2013-06-30,Historical,Q2 2013,0.5,1.7,3,3.3,7.5,-0.4,0.1,0.9,2,3.8,3.7,3.3,16771,152,197,20.5,2.1,0.2,1.301,6.2,2.8,87.2,3.2,0.0,99.2,2.2,1.7,1.521
2014-06-30,Historical,Q2 2014,5.5,7.9,5.6,7.6,6.2,2.1,0,1.7,2.7,4,4.2,3.3,20569,161,215,17,0.8,-0.4,1.369,7.3,2.6,86.6,-7.4,8.3,101.3,2.6,1.4,1.711
2015-06-30,Historical,Q2 2015,3,5.3,3,5.1,5.4,2.8,0,1.5,2.2,3.9,3.8,3.3,21631,170,245,18.9,1.6,2.4,1.115,6.8,2.7,88.4,0.5,0.8,122.1,2.9,0.7,1.573
2016-06-30,Historical,Q2 2016,1.9,4.7,-0.4,2,4.9,2.9,0.3,1.3,1.8,3.9,3.6,3.5,21622,179,245,25.8,1.1,1.4,1.103,7.3,2.8,94.2,0.7,0.0,102.8,2.1,0.7,1.324
2017-06-30,Historical,Q2 2017,2.2,3.5,2.7,3.6,4.4,0.4,0.9,1.8,2.3,3.8,4,4,25125,190,265,16,2.9,0.4,1.141,6.4,1.9,94.8,1.6,0.3,112.4,1.0,3.1,1.3
2018-06-30,Historical,Q2 2018,3.5,7.1,2.7,4.9,3.9,2.1,1.8,2.8,2.9,4.5,4.5,4.8,28314,202,288,23.6,1.4,2.1,1.168,6.2,1.3,93.5,2.1,-1.8,110.7,2.1,1.9,1.32
2019-06-30,Historical,Q2 2019,2,4.7,1.5,3.9,3.6,2.9,2.3,2.1,2.4,4,4,5.5,30244,208,303,20.6,0.6,2.0,1.137,5.2,4.1,96.4,2.0,0.1,107.8,-0.7,2.5,1.27
2020-06-30,Historical,Q2 2020,-31.7,-33.3,47,44.4,13,-3.5,0.1,0.4,0.7,3.4,3.2,3.3,31577,216,305,57.1,-39.4,-1.4,1.124,34.1,-2.1,97.3,-28.1,-1.2,107.8,-59.8,-1.5,1.237
2021-06-30,Baseline,Q2 2021,4.2,6,1.3,3,7.5,1.9,0.2,0.5,0.9,2.5,2.7,3.2,35385,224,284,26.3,1.2,1.5,1.19,10.7,2.1,98.8,1.0,1.3,106.5,1.4,1.7,1.326
2021-06-30,Adverse,Q2 2021,-2.5,-1.8,-5.6,-4.6,11.9,1.2,0.1,0.2,0.4,6.1,3.9,3.2,18009,190,282,64.3,-2.1,0.4,1.053,8.8,-0.5,102.5,-2.7,-1.6,106.2,-2.3,0.3,1.159
2022-06-30,Baseline,Q2 2022,3,4,2.1,4.1,6,2.2,0.5,0.9,1.3,3,2.9,3.6,36610,233,282,26.3,4.3,1.1,1.206,5.0,3.3,98.3,3.6,0.2,106.7,5.0,2.0,1.359
2022-06-30,Adverse,Q2 2022,8.2,8.6,3.7,5.7,11.3,2.2,0.1,0.4,0.8,4.8,3.5,3.2,21952,163,227,37.8,5.0,-0.5,1.048,5.2,-0.7,102.9,3.5,-2.1,105.9,5.0,-0.1,1.153
2023-06-30,Baseline,Q2 2023,2.4,4,2.1,4.1,5.4,2.2,1,1.3,1.8,3.5,3.3,4,37924,242,293,26.4,1.9,1.3,1.206,7.2,2.9,98.3,1.7,0.6,106.7,2.4,2.1,1.359
2023-06-30,Adverse,Q2 2023,5.7,6.7,2.7,4.5,8,2,0.1,0.7,1.4,3.6,3.3,3.2,31069,165,214,28.1,10.0,-0.1,1.101,8.1,1.2,98.9,6.5,-0.7,107.0,10.0,1.0,1.212
2000-09-30,Historical,Q3 2000,0.5,2.8,4.7,7.3,4,3.7,6,6.1,6.1,8.2,8,9.5,13613,107,139,21.9,2.3,3.4,0.884,7.8,2.2,101.4,0.3,-0.3,107.9,1.1,1.0,1.479
2001-09-30,Historical,Q3 2001,-1.6,-0.1,9.6,9.8,4.8,1.1,3.2,4.6,5.3,7.2,7,6.6,9563,116,144,43.7,0.6,1.5,0.91,4.9,1.3,106.5,-4.1,-0.5,119.2,3.2,1.0,1.469
2002-09-30,Historical,Q3 2002,1.8,3.7,-0.3,1.6,5.7,2.2,1.6,3.4,4.5,7.2,6.3,4.8,7774,127,141,45.1,1.7,1.6,0.988,7.3,1.5,105.5,1.2,-0.4,121.7,3.1,1.4,1.57
2003-09-30,Historical,Q3 2003,7,9.3,6.9,9.6,6.1,3,0.9,3.1,4.4,5.6,6,4,9650,139,149,22.7,2.3,2.1,1.165,14.6,0.1,102.6,1.5,-0.5,111.4,4.2,1.7,1.662
2004-09-30,Historical,Q3 2004,3.8,6.6,2.6,4.7,5.4,2.6,1.5,3.5,4.4,5.4,5.9,4.4,10894,159,174,19.3,1.0,2.0,1.242,8.2,4.1,102.7,2.5,-0.1,110.2,0.7,1.1,1.809
2005-09-30,Historical,Q3 2005,3.6,7.4,1.2,5.6,5,6.2,3.4,4,4.3,5.4,5.8,6.4,12283,185,190,14.2,3.0,3.1,1.206,9.4,2.4,98.5,3.9,-1.0,113.3,4.6,2.7,1.77
2006-09-30,Historical,Q3 2006,0.6,3.5,1,4,4.6,3.8,4.9,4.8,5,6.3,6.6,8.3,13323,191,220,18.6,2.4,2.0,1.269,10.1,2.2,96.2,-0.7,0.4,118.0,0.4,3.3,1.872
2007-09-30,Historical,Q3 2007,2.2,4.3,0.4,2.6,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15318,178,247,30.8,1.8,2.1,1.422,8.6,7.6,90.5,-2.0,0.3,115.0,3.1,0.2,2.039
2008-09-30,Historical,Q3 2008,-2.1,0.8,-8.1,-4.3,6,6.3,1.5,3.1,4.1,7.1,6.3,5,11826,150,230,46.7,-2.2,3.2,1.408,2.9,3.0,91.6,-5.0,3.4,105.9,-6.1,5.8,1.78
2009-09-30,Historical,Q3 2009,1.5,1.9,-4.4,-1.8,9.6,3.5,0.2,2.5,3.8,6.5,5.2,3.3,10813,139,161,31.3,1.5,1.1,1.463,12.6,4.1,91.3,0.1,-1.4,89.5,0.3,3.5,1.6
2010-09-30,Historical,Q3 2010,3,4.2,2.9,3.6,9.5,1.2,0.2,1.6,2.9,4.8,4.4,3.3,11814,136,167,32.9,1.8,1.6,1.36,8.8,4.2,88.4,7.4,-1.9,83.5,2.7,2.3,1.573
2011-09-30,Historical,Q3 2011,-0.1,2.5,1.8,3.7,9,2.6,0,1.1,2.5,4.5,4.3,3.3,11677,134,169,48,0.4,1.3,1.345,5.5,5.3,87.4,10.3,0.3,77.0,1.2,3.7,1.562
2012-09-30,Historical,Q3 2012,0.5,2.6,-2.8,-1.7,8,1.8,0.1,0.7,1.6,3.9,3.6,3.3,14895,141,184,20.5,-0.4,1.5,1.286,6.6,2.2,86.3,-1.5,-1.9,77.9,5.0,2.2,1.613
2013-09-30,Historical,Q3 2013,3.2,5.2,1.7,3.4,7.2,2.2,0,1.5,2.7,4.7,4.4,3.3,17718,155,207,17,1.2,1.1,1.354,7.7,3.5,86.6,3.4,2.7,98.3,3.8,2.1,1.618
2014-09-30,Historical,Q3 2014,5,6.8,4.8,5.9,6.1,1,0,1.7,2.5,3.9,4.1,3.3,20459,164,219,17,1.9,0.1,1.263,6.6,2.4,87.0,0.4,1.8,109.7,2.3,0.8,1.622
2015-09-30,Historical,Q3 2015,1.3,2.8,3,4.1,5.1,1.6,0,1.6,2.3,4.3,4,3.3,19959,173,247,40.7,1.9,-0.2,1.116,6.6,2.7,91.1,-0.2,0.4,119.8,1.7,0.7,1.512
2016-09-30,Historical,Q3 2016,2.2,3.7,1.8,3.5,4.9,1.9,0.3,1.2,1.6,3.5,3.4,3.5,22469,182,257,18.1,1.8,1.2,1.124,6.4,1.1,93.7,1.1,-0.5,101.2,1.8,2.1,1.302
2017-09-30,Historical,Q3 2017,3.2,5.4,2.3,4.1,4.3,2.2,1,1.8,2.3,3.7,3.9,4.3,26149,193,270,16,3.1,1.0,1.181,7.1,2.2,93.7,2.7,0.5,112.6,1.4,2.3,1.34
2018-09-30,Historical,Q3 2018,2.9,4.8,3.3,4.9,3.8,2,2,2.8,2.9,4.5,4.6,5,30190,203,279,16.1,0.8,2.6,1.162,5.5,2.9,97.2,-2.4,2.4,113.5,2.4,2.7,1.305
2019-09-30,Historical,Q3 2019,2.1,3.8,2.9,4.5,3.6,1.8,2,1.7,1.8,3.4,3.7,5.3,30442,210,311,24.6,1.1,0.7,1.091,4.5,3.6,99.8,1.8,0.5,108.1,1.7,1.8,1.231
2020-09-30,Baseline,Q3 2020,24,26.7,-14.4,-12.7,9.5,3.7,0.1,0.3,0.6,2.4,3,3.3,34528,218,305,33.6,35.0,0.2,1.149,1.0,2.1,98.3,20.0,-1.3,107.1,80.0,-0.1,1.265
2020-09-30,Adverse,Q3 2020,24,26.5,-12.3,-10.6,9.5,3.6,0.1,0.2,0.3,2.1,2.7,3.3,35961,220,305,33.6,35.0,0.2,1.124,1.0,2.4,97.3,20.0,-0.3,107.8,80.0,0.3,1.237
2021-09-30,Baseline,Q3 2021,4.1,5.8,2.2,4,7,2,0.2,0.6,1,2.6,2.7,3.2,35683,226,274,26.2,2.5,1.3,1.198,8.8,2.5,98.6,2.1,0.9,106.6,2.8,1.8,1.343
2021-09-30,Adverse,Q3 2021,-0.2,0.4,-3.1,-1.9,12.2,1.4,0.1,0.2,0.5,5.7,3.8,3.2,18530,182,268,53.6,-1.8,0.2,1.048,7.6,-1.1,102.9,-2.2,-1.7,105.9,-2.1,0.3,1.153
2022-09-30,Baseline,Q3 2022,2.8,4,2.1,4.1,5.8,2.2,0.7,1,1.5,3.1,3,3.7,36930,235,285,26.3,3.7,1.1,1.206,5.2,3.3,98.3,3.2,0.2,106.7,4.4,2.0,1.359
2022-09-30,Adverse,Q3 2022,10.8,11.1,5.3,7.6,10.2,2.3,0.1,0.4,1,4.5,3.5,3.2,23779,161,218,34.3,7.0,-0.8,1.058,5.7,-0.2,102.1,4.5,-2.1,106.2,7.0,-0.1,1.165
2023-09-30,Baseline,Q3 2023,2.3,4,2.1,4.1,5.3,2.2,1.1,1.3,1.9,3.5,3.4,4.1,38266,244,296,26.4,1.3,1.4,1.206,8.9,2.5,98.3,1.1,0.9,106.7,1.6,1.9,1.359
2023-09-30,Adverse,Q3 2023,5.3,6.5,2.1,3.9,7.6,2,0.1,0.8,1.5,3.3,3.2,3.2,34231,168,215,26.5,11.0,0.5,1.113,10.2,1.6,98.1,7.5,-0.1,107.2,11.0,1.5,1.225
2000-12-31,Historical,Q4 2000,2.5,4.7,1.4,3.7,3.9,2.9,6,5.6,5.8,8,7.6,9.5,12176,110,144,31.7,2.7,2.8,0.939,3.6,2.5,105.2,4.0,-1.1,114.4,0.6,1.9,1.496
2001-12-31,Historical,Q4 2001,1.1,2.4,-5,-4.7,5.5,-0.3,1.9,4.2,5.1,7.1,6.8,5.2,10708,118,139,35.3,0.5,1.7,0.89,8.4,0.0,106.9,-1.2,-1.9,131.0,1.5,0.0,1.454
2002-12-31,Historical,Q4 2002,0.6,2.9,2.4,4.3,5.9,2.4,1.3,3.1,4.3,6.9,6.1,4.5,8343,129,144,42.6,0.7,2.3,1.049,6.7,0.8,104.5,1.1,-0.8,118.8,3.5,1.9,1.61
2003-12-31,Historical,Q4 2003,4.7,7.2,1.1,2.9,5.8,1.5,0.9,3.2,4.4,5.4,5.9,4,10800,143,147,21.1,3.0,2.3,1.26,12.8,5.5,103.4,4.5,-1.0,107.1,3.4,1.6,1.784
2004-12-31,Historical,Q4 2004,4.1,7.3,5.1,8.8,5.4,4.4,2,3.5,4.3,5.1,5.7,4.9,11952,165,178,16.6,1.5,2.4,1.354,6.3,0.8,98.9,-0.8,1.9,102.7,1.3,2.4,1.916
2005-12-31,Historical,Q4 2005,2.5,5.9,5.2,8.6,5,3.8,3.8,4.4,4.6,5.8,6.2,7,12497,190,198,16.5,2.5,2.5,1.184,11.6,1.6,98.1,0.7,0.1,117.9,6.1,1.4,1.719
2006-12-31,Historical,Q4 2006,3.5,5,5.4,4.7,4.4,-1.6,4.9,4.6,4.7,6,6.2,8.3,14216,191,222,12.7,4.8,0.9,1.32,11.4,3.6,94.5,5.3,-0.5,119.0,2.1,2.6,1.959
2007-12-31,Historical,Q4 2007,2.5,4.1,0.3,4.3,4.8,5,3.4,3.8,4.4,6.3,6.2,7.5,14754,172,247,31.1,2.3,4.9,1.46,13.1,5.9,89.4,1.9,2.2,111.7,1.9,4.0,1.984
2008-12-31,Historical,Q4 2008,-8.4,-7.2,3.5,-2.5,6.9,-8.9,0.3,2.2,3.7,9.7,5.8,4.1,9057,143,219,80.9,-6.7,-1.4,1.392,0.6,-1.1,92.3,-9.4,-2.1,90.8,-8.0,0.5,1.462
2009-12-31,Historical,Q4 2009,4.5,5.9,-0.1,3,9.9,3.2,0.1,2.3,3.7,5.8,4.9,3.3,11385,139,158,30.7,2.1,1.6,1.433,9.7,5.0,90.7,5.7,-1.5,93.1,1.2,3.0,1.617
2010-12-31,Historical,Q4 2010,2,4.3,2.3,4.8,9.5,3.3,0.1,1.5,3,4.7,4.4,3.3,13132,135,167,23.5,2.5,2.6,1.327,9.6,7.5,87.4,-3.2,1.3,81.7,0.3,4.0,1.539
2011-12-31,Historical,Q4 2011,4.7,5.4,1.2,2.6,8.6,1.8,0,1,2.1,4.8,4,3.3,13019,134,176,45.5,-1.4,3.5,1.297,6.6,3.0,87.3,-0.6,-0.6,77.0,0.7,3.4,1.554
2012-12-31,Historical,Q4 2012,0.5,2.5,11.5,14.1,7.8,2.7,0.1,0.7,1.7,3.6,3.4,3.3,14835,144,184,22.7,-1.7,2.5,1.319,7.3,3.5,86.0,1.0,0.1,86.6,-0.6,4.0,1.626
2013-12-31,Historical,Q4 2013,3.2,5.7,1.6,3.3,6.9,1.5,0.1,1.4,2.8,4.5,4.3,3.3,19413,158,211,20.3,0.9,0.5,1.378,7.0,4.0,85.8,-0.2,2.6,105.3,2.1,1.5,1.657
2014-12-31,Historical,Q4 2014,2.3,2.9,5.4,4.9,5.7,-1,0,1.6,2.3,4,4,3.3,21425,166,227,26.3,1.7,-0.1,1.21,6.1,1.1,88.1,2.0,-0.9,119.9,2.3,-0.4,1.558
2015-12-31,Historical,Q4 2015,0.1,0.1,1.3,0.9,5,0,0.1,1.6,2.2,4.4,3.9,3.3,21101,175,247,24.4,1.7,-0.4,1.086,6.1,1.3,92.3,-1.6,-0.9,120.3,3.0,0.0,1.475
2016-12-31,Historical,Q4 2016,2,4,2.4,4.3,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23277,185,260,22.5,3.1,1.7,1.055,5.9,1.9,97.6,0.9,2.0,116.8,2.6,2.0,1.234
2017-12-31,Historical,Q4 2017,3.5,6.4,3.7,6.5,4.1,3.1,1.2,2.1,2.4,3.7,3.9,4.3,27673,196,279,13.1,3.2,1.5,1.202,6.0,2.9,91.1,1.2,1.5,112.7,1.6,2.9,1.353
2018-12-31,Historical,Q4 2018,1.1,2.9,2.8,4.2,3.8,1.5,2.3,2.9,3,4.8,4.8,5.3,25725,205,280,36.1,1.4,0.8,1.146,5.6,1.6,96.2,1.0,0.3,109.7,0.9,1.9,1.276
2019-12-31,Historical,Q4 2019,2,4,2.1,4.5,3.5,2.6,1.6,1.6,1.8,3.3,3.7,4.8,33035,212,316,20.6,1.1,1.1,1.123,5.4,7.1,98.0,0.8,0.6,108.7,1.1,0.2,1.327
2020-12-31,Baseline,Q4 2020,4.9,6.4,-3.3,-1.6,8.7,1.9,0.1,0.4,0.8,2.4,2.8,3.2,34805,220,299,28.9,18.7,1.0,1.174,1.6,2.0,99.3,4.9,-1.0,106.3,16.3,2.5,1.294
2020-12-31,Adverse,Q4 2020,-5.9,-5.3,-14.2,-13.4,10.5,1.2,0.1,0.2,0.3,5,3.7,3.2,25124,208,298,70,-3.6,-0.1,1.101,-1.0,0.1,98.9,-6.9,-1.3,107.2,-2.7,0.4,1.212
2021-12-31,Baseline,Q4 2021,3.6,5.4,1.5,3.3,6.6,2,0.2,0.7,1.1,2.7,2.7,3.2,35986,228,277,26.2,3.7,1.2,1.206,6.9,2.9,98.3,3.1,0.6,106.7,4.2,1.8,1.359
2021-12-31,Adverse,Q4 2021,-0.2,0.7,-2.4,-1.2,12.5,1.4,0.1,0.2,0.6,5.4,3.7,3.2,19275,174,255,46.8,-1.6,0.2,1.045,6.3,-0.7,103.1,-1.8,-1.5,105.7,-1.9,0.0,1.15
2022-12-31,Baseline,Q4 2022,2.7,4,2.1,4.1,5.7,2.2,0.8,1.1,1.6,3.2,3.1,3.8,37256,237,288,26.3,3.2,1.2,1.206,5.5,3.3,98.3,2.7,0.2,106.7,3.8,2.1,1.359
2022-12-31,Adverse,Q4 2022,10.8,11.3,5.6,7.8,9.2,2.3,0.1,0.5,1.1,4.2,3.4,3.2,25918,161,213,32.1,8.0,-0.8,1.08,6.1,0.2,100.5,5.5,-1.8,106.4,8.0,0.1,1.188
